report_id,student_id,date,type,severity,action_taken,description
D_c6ba84,272,2016-05-31,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_46dc65,12,2015-09-03,Disruption,Minor,Verbal Warning,Talked loudly or interrupted class repeatedly.
D_35ee4c,12,2016-01-11,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_46a150,12,2015-09-28,Inappropriate Language,Moderate,Detention,Used offensive or inappropriate words.
D_c22a65,12,2016-02-26,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_a956d8,77,2015-08-31,Skipping Class,Moderate,Parent Meeting,Did not attend assigned class without excuse.
D_7b4cdc,77,2015-10-29,Tardiness,Minor,Warning,Arrived late without a valid excuse.
D_394eed,77,2016-03-14,Defiance,Moderate,Detention,Refused to follow teacher directions.
D_c677bb,3,2015-11-20,Skipping Class,Moderate,Parent Meeting,Did not attend assigned class without excuse.
D_69a4ab,3,2016-05-20,Physical Aggression,Severe,Suspension,"Pushed, hit, or physically harmed another student."
D_a5c553,3,2015-11-09,Fighting,Severe,Suspension,Engaged in a physical altercation with another student.
D_ed8076,3,2015-11-13,Defiance,Moderate,Detention,Refused to follow teacher directions.
D_6da6a3,3,2016-01-14,Bullying,Severe,Suspension,Repeated harassment or intimidation of a peer.
